voxel_index,region_id
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,1
25,1
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,5
66,0
67,0
68,0
69,0
70,5
71,5
72,5
73,5
74,0
75,0
76,0
77,0
78,5
79,5
80,5
81,5
82,5
83,5
84,0
85,0
86,0
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,2
107,5
108,5
109,5
110,5
111,2
112,2
113,2
114,5
115,5
116,5
117,2
118,2
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,5
182,5
183,5
184,5
185,0
186,0
187,0
188,0
189,0
190,0
191,5
192,5
193,5
194,5
195,5
196,5
197,0
198,0
199,0
200,0
201,0
202,0
203,5
204,5
205,5
206,5
207,5
208,5
209,5
210,5
211,0
212,0
213,0
214,0
215,0
216,5
217,5
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,0
226,0
227,0
228,0
229,0
230,5
231,5
232,5
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,0
241,0
242,0
243,0
244,5
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,5
254,0
255,0
256,0
257,2
258,5
259,5
260,5
261,5
262,5
263,5
264,5
265,5
266,5
267,5
268,2
269,2
270,2
271,5
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,2
281,2
282,2
283,2
284,2
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,5
293,5
294,2
295,2
296,2
297,2
298,2
299,5
300,5
301,5
302,5
303,5
304,5
305,5
306,5
307,2
308,2
309,2
310,2
311,5
312,5
313,5
314,5
315,5
316,5
317,5
318,5
319,5
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,5
328,5
329,5
330,5
331,5
332,5
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,0
369,1
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,5
405,5
406,0
407,0
408,0
409,0
410,0
411,0
412,5
413,5
414,5
415,5
416,0
417,0
418,0
419,0
420,0
421,0
422,5
423,5
424,5
425,5
426,5
427,5
428,5
429,0
430,0
431,0
432,0
433,0
434,0
435,5
436,5
437,5
438,5
439,5
440,5
441,5
442,5
443,0
444,0
445,0
446,0
447,0
448,0
449,5
450,5
451,5
452,5
453,5
454,5
455,5
456,5
457,5
458,0
459,0
460,0
461,0
462,0
463,5
464,5
465,5
466,5
467,5
468,5
469,5
470,5
471,5
472,5
473,5
474,0
475,0
476,0
477,0
478,2
479,5
480,5
481,5
482,5
483,5
484,5
485,5
486,5
487,5
488,5
489,5
490,0
491,0
492,0
493,0
494,2
495,2
496,2
497,2
498,5
499,5
500,5
501,5
502,5
503,5
504,5
505,5
506,5
507,5
508,5
509,0
510,2
511,2
512,2
513,2
514,5
515,5
516,5
517,5
518,5
519,5
520,5
521,5
522,5
523,5
524,2
525,2
526,2
527,2
528,2
529,2
530,5
